Company,Sector,Industry,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,datetime extracted
"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,USA,S&P 500,41.39,3.49,0.30%,181.00M,2.34%,25.62B,34.20,10.02%,-3.40%,180.24M,16.17%,632.00M,4.99,0.96,88.50%,1.15%,15.61%,3.64B,7.04,6.70%,0.02%,2.18,6.44%,34.49,4.19,2.80%,133.83,26.93%,3.14,46.09,8.30%,10.30%,92.00 - 145.81,17.64%,2.20,-,7.50%,6.10%,-0.88%,0.21,1.52%,0.60,3.70%,-,57.09%,3.03,6800,0.70,3.80%,32.10%,75.53,2.18% 2.26%,Yes,1.65,9.70%,17.40%,0.88,144.89,Yes,1.38,Aug 05 AMC,57.30%,950.03K,144.52,2.30,8.25%,12.21%,14.90%,"834,131",-0.26%,2020-07-25 16:25:46.619279
"Ameriprise Financial, Inc.",Financial,Asset Management,USA,S&P 500,5.75,27.01,0.40%,126.40M,1.23%,18.93B,8.89,9.16%,-31.94%,122.03M,8.60%,3.53B,0.50,2.85,87.00%,2.56%,44.45%,12.76B,1.48,-1.90%,-0.17%,3.01,-7.35%,52.95,2.93,2.40%,168.56,5.64%,72.40,2.14,11.56%,57.80%,80.01 - 180.85,-6.80%,4.16,2.90,10.90%,8.40%,-14.15%,1.84,2.68%,-,0.90%,49.10%,94.05%,4.59,12500,-,-4.00%,33.80%,56.09,2.18% 2.84%,Yes,3.13,463.30%,27.70%,0.60,156.81,Yes,0.56,Jul 29 AMC,14.20%,1.04M,155.26,1.80,3.18%,6.30%,7.41%,"624,216",-0.99%,2020-07-25 16:25:46.619279
AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,S&P 500,13.67,7.59,0.20%,205.37M,-0.66%,20.76B,12.70,9.68%,-40.97%,146.20M,4.98%,1.58B,1.66,1.56,67.40%,2.63%,16.98%,186.16B,0.11,-18.60%,0.05%,2.98,16.69%,17.48,5.94,4.00%,101.67,20.75%,18.45,5.62,8.23%,51.00%,72.06 - 105.08,22.04%,1.68,12.94,26.40%,13.00%,-1.26%,0.62,1.62%,0.60,8.50%,2.80%,43.99%,2.27,22000,1.00,9.50%,0.60%,60.82,1.89% 2.30%,Yes,1.15,3438.90%,0.90%,0.52,104.03,Yes,1.01,Aug 05 BMO,21.20%,1.29M,103.76,2.40,3.31%,6.47%,15.60%,"668,514",-0.26%,2020-07-25 16:25:46.619279
"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,USA,S&P 500,22.79,4.08,0.40%,228.96M,-0.05%,21.26B,23.13,12.68%,-4.39%,228.42M,8.22%,937.60M,-,0.73,89.30%,0.99%,20.56%,5.07B,4.19,14.00%,0.29%,1.63,-6.70%,23.26,3.99,9.70%,96.69,4.11%,5.48,16.96,-1.20%,18.80%,54.82 - 102.31,-6.86%,0.72,22.29,9.70%,12.30%,-9.20%,1.25,0.78%,1.40,5.10%,34.90%,69.46%,1.99,18100,1.90,-6.60%,25.00%,57.02,1.63% 2.12%,Yes,0.61,36.10%,18.50%,0.73,93.32,Yes,0.51,Aug 04 BMO,14.60%,1.39M,92.90,2.00,3.46%,4.14%,3.52%,"1,007,861",-0.45%,2020-07-25 16:25:46.619279
Amgen Inc.,Healthcare,Drug Manufacturers - General,USA,S&P 500,19.43,12.77,0.20%,590.00M,-4.05%,144.03B,14.69,8.25%,-1.20%,587.21M,6.65%,7.68B,3.28,3.82,78.40%,1.03%,4.95%,23.97B,6.01,2.00%,-0.05%,2.21,9.93%,16.08,15.42,12.80%,255.25,42.43%,13.79,17.98,5.93%,75.10%,173.12 - 264.97,2.87%,6.40,27.48,14.00%,21.20%,-6.41%,0.95,2.58%,1.30,3.10%,79.90%,43.24%,6.48,23400,1.60,10.90%,39.90%,51.03,2.07% 2.81%,Yes,3.36,-3.40%,32.00%,0.80,252.24,Yes,3.16,Jul 28 AMC,46.30%,2.72M,247.98,2.20,-0.98%,4.71%,9.90%,"2,186,285",-1.69%,2020-07-25 16:25:46.619279
Amphenol Corporation,Technology,Electronic Components,USA,S&P 500,28.41,3.67,0.20%,297.40M,2.32%,30.55B,28.21,24.92%,-56.97%,291.45M,10.34%,1.13B,9.80,0.63,97.20%,0.94%,21.14%,8.13B,3.76,-9.20%,-0.01%,1.76,-0.92%,14.75,7.08,10.20%,99.08,11.22%,8.14,12.82,2.90%,26.20%,63.05 - 110.24,-3.55%,1.00,31.29,11.10%,15.60%,-5.31%,1.28,0.96%,1.90,9.00%,31.30%,65.57%,2.34,74000,2.50,-4.90%,19.00%,65.34,2.16% 2.08%,Yes,1.16,-8.90%,13.90%,0.94,105.60,Yes,1.05,Jul 22 BMO,25.80%,1.56M,104.39,2.10,6.65%,8.33%,8.89%,"1,462,751",-1.15%,2020-07-25 16:25:46.619279
"Analog Devices, Inc.",Technology,Semiconductors,USA,S&P 500,37.45,3.00,0.20%,368.22M,-3.89%,41.13B,20.86,17.96%,-5.11%,367.17M,-6.08%,1.12B,4.57,1.25,88.20%,1.21%,5.94%,5.54B,7.42,-12.10%,-0.14%,1.63,-4.56%,31.48,3.56,5.20%,129.71,-8.16%,2.14,52.40,8.20%,9.50%,79.07 - 127.39,-5.58%,2.48,43.90,13.00%,9.20%,-11.92%,1.34,2.21%,0.90,15.90%,65.60%,41.90%,3.14,16400,1.30,-57.10%,25.30%,37.30,2.58% 2.48%,Yes,0.48,-62.70%,20.00%,1.37,111.94,Yes,0.44,Aug 19 BMO,74.40%,2.73M,112.21,2.00,-5.80%,-4.39%,0.82%,"3,736,050",0.24%,2020-07-25 16:25:46.619279
"ANSYS, Inc.",Technology,Software - Application,USA,S&P 500,61.73,4.76,0.60%,85.80M,-2.53%,24.64B,42.69,15.97%,-4.31%,84.75M,2.90%,410.60M,8.69,1.16,96.50%,2.88%,13.13%,1.50B,16.38,6.90%,0.16%,4.90,5.83%,38.37,7.65,10.00%,272.64,37.64%,8.55,34.31,7.10%,13.20%,186.81 - 310.05,14.02%,-,54.65,14.10%,11.20%,-5.33%,1.21,-,2.40,10.10%,87.90%,57.12%,8.37,4100,2.40,-3.80%,30.20%,49.03,2.57% 2.76%,Yes,0.13,-46.90%,27.30%,1.24,300.15,Yes,0.13,Aug 05 AMC,0.00%,498.16K,293.51,2.40,-1.53%,2.87%,13.73%,"619,984",-2.21%,2020-07-25 16:25:46.619279
"Anthem, Inc.",Healthcare,Healthcare Plans,USA,S&P 500,14.64,18.48,0.10%,252.40M,1.55%,67.61B,10.71,13.11%,-22.14%,250.79M,5.12%,4.78B,0.99,8.88,92.30%,1.25%,2.41%,109.26B,0.62,31.10%,0.01%,2.32,-9.01%,125.57,2.15,6.10%,335.30,-7.98%,21.38,12.65,14.77%,15.20%,171.03 - 309.10,-10.44%,3.80,13.40,15.60%,10.70%,-12.49%,0.95,1.40%,-,7.10%,-,58.15%,6.80,70600,-,20.30%,6.30%,53.10,2.57% 2.52%,Yes,0.68,0.50%,4.40%,0.82,269.93,Yes,0.60,Jul 29 BMO,17.80%,1.34M,270.49,2.00,2.80%,-0.61%,-0.45%,"1,100,209",0.21%,2020-07-25 16:25:46.619279
Aon Plc,Financial,Insurance Brokers,United Kingdom,S&P 500,29.81,6.95,0.70%,233.20M,1.72%,47.73B,19.36,10.11%,-0.59%,229.20M,10.47%,1.65B,3.28,1.93,92.60%,5.84%,18.02%,11.09B,4.30,37.10%,-1.37%,9.02,-2.93%,13.59,15.24,5.60%,207.73,5.24%,26.27,7.88,9.08%,47.40%,143.93 - 238.19,-0.54%,1.76,32.78,6.40%,17.40%,-13.02%,0.88,0.85%,1.00,-1.80%,-,43.94%,3.60,50000,1.00,2.40%,21.30%,67.55,1.17% 1.83%,Yes,2.58,21.90%,14.80%,0.69,207.37,Yes,1.99,Jul 31 BMO,25.20%,1.48M,207.17,2.30,4.91%,6.48%,5.31%,"1,022,886",-0.10%,2020-07-25 16:25:46.619279
A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,USA,S&P 500,25.55,2.01,0.70%,161.87M,1.54%,8.31B,22.69,26.45%,-12.02%,133.78M,13.74%,332.40M,3.19,0.42,-,5.42%,27.04%,2.88B,2.89,-14.00%,-0.07%,5.37,12.94%,9.99,5.14,10.80%,46.33,13.82%,3.40,15.07,8.00%,20.00%,33.81 - 52.70,7.70%,0.96,29.55,14.20%,19.00%,-2.64%,1.28,1.87%,1.60,4.90%,39.10%,51.78%,1.07,15100,2.10,-14.90%,14.90%,67.48,1.47% 2.04%,Yes,0.21,-39.90%,11.50%,0.69,51.20,Yes,0.21,Jul 30 BMO,45.50%,1.35M,51.31,2.60,5.78%,8.80%,13.32%,"929,149",0.21%,2020-07-25 16:25:46.619279
Apache Corporation,Energy,Oil & Gas E&P,USA,S&P 500,-,-21.15,0.20%,378.00M,6.85%,5.59B,-,55.10%,4.36%,376.47M,8.65%,-7986.00M,-,-0.98,96.90%,4.88%,32.83%,6.01B,0.93,-,0.05%,1.08,-52.64%,-3.30,-,-42.80%,14.06,-41.27%,1.09,13.07,-,-215.00%,3.80 - 33.77,-44.51%,0.10,2.36,1.00%,-28.30%,-57.95%,4.66,0.70%,0.70,-13.00%,75.00%,273.68%,0.91,3163,0.90,-18.70%,-,54.70,5.37% 6.31%,Yes,-,-,-,0.40,14.39,Yes,-,Jul 29 AMC,-,17.02M,14.20,2.70,5.75%,7.40%,-22.18%,"6,779,201",-1.32%,2020-07-25 16:25:46.619279
Apartment Investment and Management Company,Real Estate,REIT - Residential,USA,S&P 500,26.33,1.35,0.50%,148.52M,-4.12%,5.37B,557.03,481.82%,-9.01%,147.62M,-1.52%,201.30M,3.71,0.02,-,1.26%,1.60%,908.60M,5.91,-27.40%,-0.23%,1.51,-34.01%,11.56,3.08,3.00%,40.80,-28.20%,2.26,15.76,7.10%,11.60%,24.53 - 55.68,-30.98%,1.64,45.83,8.20%,2.50%,-35.97%,0.84,4.60%,-,-1.50%,66.20%,45.33%,1.17,950,-,-2.40%,16.60%,40.91,3.49% 2.90%,Yes,0.00,-97.60%,22.10%,0.53,36.16,Yes,2.80,Aug 03 AMC,116.50%,1.23M,35.65,2.80,-4.57%,-5.63%,-21.25%,"647,895",-1.41%,2020-07-25 16:25:46.619279
Apple Inc.,Technology,Consumer Electronics,USA,DJIA S&P500,29.04,12.76,0.07%,4.36B,-3.85%,1608.95B,24.82,20.34%,-3.28%,4.33B,2.89%,57.22B,2.46,2.01,61.90%,0.78%,30.92%,267.98B,6.00,-2.60%,-0.14%,0.98,16.38%,17.99,20.59,17.30%,350.33,78.95%,21.66,17.11,11.82%,64.50%,192.58 - 399.82,26.16%,3.28,30.58,13.00%,26.90%,-7.34%,1.19,0.89%,1.50,7.30%,38.10%,92.37%,10.07,137000,1.50,0.50%,24.50%,50.43,3.27% 2.46%,Yes,1.40,3.80%,21.40%,1.34,371.38,Yes,1.14,Jul 30 AMC,23.90%,34.58M,370.46,2.00,-1.76%,5.94%,25.13%,"46,217,300",-0.25%,2020-07-25 16:25:46.619279
"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,S&P 500,19.31,3.14,0.10%,917.00M,-2.70%,55.59B,14.08,13.08%,-2.70%,912.50M,1.08%,2.92B,0.93,0.95,83.40%,2.01%,17.16%,15.44B,3.60,-29.80%,-0.15%,2.35,-2.23%,9.84,6.16,14.70%,69.48,19.28%,6.22,9.75,20.84%,34.30%,36.64 - 69.44,-0.69%,0.88,26.51,26.70%,20.40%,-12.70%,1.40,1.45%,1.90,10.00%,44.00%,65.45%,1.86,22000,2.70,11.80%,23.60%,46.85,2.75% 2.65%,Yes,0.76,16.40%,18.90%,1.41,63.63,Yes,0.69,May 14 AMC,26.50%,7.79M,60.62,2.10,-2.16%,2.61%,7.22%,"11,021,234",-4.73%,2020-07-25 16:25:46.619279
Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,S&P 500,9.07,9.06,0.40%,255.51M,0.57%,22.34B,22.34,300.98%,0.00%,253.16M,10.23%,2.32B,1.33,-1.39,93.80%,2.87%,31.10%,14.01B,1.59,-7.00%,2.06%,2.90,-10.15%,19.46,4.23,16.70%,83.95,0.42%,7.57,10.87,6.80%,58.50%,29.22 - 99.04,-13.39%,-,30.81,-2.40%,13.80%,-16.95%,2.27,-,1.30,-1.50%,18.10%,181.49%,2.70,141000,1.70,-9.80%,18.50%,58.58,2.60% 3.28%,Yes,1.25,564.50%,16.60%,0.50,82.33,Yes,1.20,Jul 30 BMO,9.70%,2.50M,82.25,2.00,4.77%,7.28%,3.39%,"1,243,241",-0.10%,2020-07-25 16:25:46.619279
Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,S&P 500,15.24,2.76,0.40%,563.00M,2.23%,23.26B,12.79,17.49%,-0.93%,553.10M,7.04%,1.56B,-,0.51,79.70%,1.65%,16.95%,64.32B,0.36,-19.90%,0.02%,3.26,-4.99%,33.66,1.25,3.50%,47.33,3.47%,-,-,-8.80%,8.10%,28.92 - 47.20,-9.19%,1.44,-,-6.00%,4.20%,-10.83%,0.95,3.42%,1.00,-4.50%,6.50%,45.54%,0.92,38100,1.50,-2.20%,2.10%,62.47,2.12% 2.16%,Yes,0.66,57.00%,2.40%,0.88,42.26,Yes,0.45,Jul 29 AMC,51.60%,2.80M,42.09,2.10,5.24%,7.31%,4.38%,"2,458,760",-0.40%,2020-07-25 16:25:46.619279
"Arista Networks, Inc.",Technology,Computer Hardware,USA,S&P 500,23.94,9.89,0.10%,76.26M,7.85%,17.56B,24.71,13.77%,-63.49%,54.29M,13.17%,797.00M,3.03,1.95,64.00%,7.54%,9.22%,2.34B,7.51,157.20%,0.14%,5.89,-0.52%,37.35,6.34,20.80%,215.38,-11.44%,35.55,6.66,7.91%,29.20%,156.63 - 279.85,16.43%,-,18.03,52.50%,27.80%,-15.38%,1.14,-,5.30,32.80%,64.20%,51.19%,6.89,2300,5.80,-12.20%,32.50%,65.94,3.46% 2.82%,Yes,0.00,-30.00%,34.10%,0.73,239.30,Yes,0.00,Aug 04 AMC,0.00%,695.13K,236.81,2.60,9.18%,7.29%,11.86%,"506,430",-1.04%,2020-07-25 16:25:46.619279
Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,S&P 500,29.82,3.49,0.40%,188.70M,0.37%,19.52B,24.33,6.16%,-7.67%,187.76M,9.65%,668.80M,3.31,0.72,85.00%,0.98%,38.06%,7.07B,2.76,2.00%,0.20%,1.56,7.30%,26.65,3.90,3.50%,106.36,13.15%,1.88,55.32,9.02%,13.70%,65.09 - 109.46,9.14%,1.80,22.53,12.30%,9.20%,-5.05%,0.76,1.73%,1.10,9.20%,33.60%,59.67%,2.12,33300,1.10,-6.20%,12.20%,66.65,1.37% 2.02%,Yes,0.97,-2.50%,9.60%,0.47,104.03,Yes,0.86,Jul 30 AMC,47.40%,1.18M,103.93,1.80,4.19%,7.49%,12.08%,"552,821",-0.10%,2020-07-25 16:25:46.619279
"Assurant, Inc.",Financial,Insurance - Specialty,USA,S&P 500,19.35,5.52,0.80%,60.60M,2.52%,6.43B,10.13,15.92%,0.00%,59.06M,6.07%,352.90M,1.00,2.10,97.50%,3.44%,2.04%,10.21B,0.63,45.90%,0.27%,4.02,-17.33%,88.56,1.21,0.80%,139.67,-5.80%,33.24,3.21,19.40%,6.30%,76.27 - 142.61,-18.53%,2.52,8.12,-1.90%,8.60%,-25.12%,0.55,2.36%,-,-0.60%,-,40.02%,2.65,14200,-,4.90%,6.80%,57.93,1.87% 2.52%,Yes,0.41,-3.70%,3.50%,0.59,107.35,Yes,0.41,Aug 04 AMC,42.70%,505.37K,106.79,1.70,4.63%,3.30%,-8.80%,"296,156",-0.52%,2020-07-25 16:25:46.619279
AT&T Inc.,Communication Services,Telecom Services,USA,S&P 500,15.00,1.97,0.08%,7.19B,-2.25%,211.66B,8.97,3.32%,2.52%,7.12B,0.51%,14.38B,8.98,0.80,56.60%,1.61%,-0.47%,179.15B,1.18,-30.90%,0.09%,3.09,-23.19%,24.74,1.20,2.60%,33.64,-12.54%,1.39,21.26,1.67%,7.90%,26.08 - 39.70,-24.33%,2.08,17.18,8.90%,7.00%,-25.52%,0.68,7.03%,0.80,6.50%,53.80%,13.38%,0.59,244000,0.80,-4.60%,15.70%,42.46,1.77% 1.73%,Yes,0.92,13.70%,8.00%,1.04,29.90,Yes,0.83,Jul 23 BMO,103.70%,37.07M,29.57,2.70,-1.50%,-2.49%,-14.08%,"38,694,234",-1.10%,2020-07-25 16:25:46.619279
Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,USA,S&P 500,22.47,4.58,0.50%,122.92M,1.92%,12.53B,20.51,7.54%,0.66%,120.48M,4.08%,556.80M,3.14,0.76,87.80%,5.13%,-1.35%,2.78B,4.50,8.80%,-0.15%,6.31,-12.25%,51.29,2.01,4.00%,108.13,-3.84%,2.63,39.16,7.15%,9.30%,77.92 - 121.08,-7.92%,2.30,-,8.00%,6.20%,-14.93%,0.30,2.23%,0.80,-10.10%,76.30%,32.19%,2.12,4776,0.90,-50.40%,28.60%,59.18,2.22% 1.95%,Yes,0.72,-38.50%,20.00%,0.66,103.70,Yes,0.69,Aug 05 AMC,47.90%,979.99K,103.00,2.30,2.80%,2.61%,-3.01%,"648,822",-0.68%,2020-07-25 16:25:46.619279
"Autodesk, Inc.",Technology,Software - Application,USA,S&P 500,169.86,1.37,0.20%,219.20M,-2.03%,50.26B,43.29,42.40%,-12.53%,217.22M,-0.24%,305.20M,5.15,0.90,96.90%,1.36%,29.13%,3.42B,14.68,327.80%,0.11%,1.88,16.91%,-0.63,-,5.60%,239.73,37.05%,6.80,34.26,32.98%,-189.60%,125.38 - 251.39,26.94%,-,34.36,23.40%,14.00%,-7.36%,1.58,-,0.80,5.40%,90.50%,85.74%,7.40,10100,0.80,20.40%,13.10%,49.30,3.35% 3.04%,Yes,-,372.70%,8.90%,0.64,237.34,Yes,-,May 27 AMC,0.00%,1.57M,232.88,2.20,-2.50%,3.36%,25.05%,"1,003,886",-1.88%,2020-07-25 16:25:46.619279
"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,S&P 500,24.93,5.83,0.10%,430.00M,-1.47%,61.90B,25.58,-0.89%,-4.44%,428.98M,0.41%,2.53B,2.04,0.96,82.40%,0.88%,4.45%,14.71B,4.21,12.30%,0.05%,1.81,-17.93%,12.77,11.39,5.90%,156.07,-12.95%,4.01,36.24,12.20%,46.80%,103.11 - 182.32,-14.70%,3.64,44.90,15.30%,31.10%,-20.23%,0.81,2.50%,1.00,6.70%,42.90%,41.04%,3.14,58000,1.00,5.70%,21.90%,46.34,1.76% 2.01%,Yes,0.37,10.10%,17.20%,0.47,146.97,Yes,0.18,-,56.00%,2.08M,145.43,2.70,-1.35%,-0.62%,-6.71%,"980,880",-1.05%,2020-07-25 16:25:46.619279
"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,S&P 500,17.19,67.97,0.20%,23.39M,0.98%,27.11B,16.93,9.63%,-9.01%,23.24M,6.22%,1.66B,3.58,22.42,96.00%,1.70%,11.61%,12.07B,2.25,50.90%,-0.17%,1.67,2.49%,-69.82,-,12.90%,1269.87,1.95%,21.94,53.25,4.80%,-91.20%,684.91 - 1274.41,-1.91%,-,16.05,14.80%,50.50%,-8.30%,0.89,-,0.20,4.60%,53.70%,70.62%,22.75,55680,0.90,-0.10%,18.10%,60.47,1.53% 1.92%,Yes,-,20.70%,12.90%,0.57,1168.46,Yes,-,May 26 BMO,0.00%,236.03K,1168.59,2.20,2.98%,3.69%,7.39%,"135,693",0.01%,2020-07-25 16:25:46.619279
"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,USA,S&P 500,26.35,5.57,0.30%,140.38M,-4.57%,20.73B,33.66,0.95%,-1.67%,140.33M,-3.11%,781.60M,10.37,1.03,95.00%,1.50%,-7.28%,2.36B,8.78,-20.10%,-0.34%,1.71,-33.05%,77.73,1.89,-,177.12,-29.01%,5.51,26.65,2.54%,-,118.17 - 229.40,-29.97%,6.36,-,2.70%,3.40%,-35.99%,0.81,4.33%,-,6.60%,66.90%,24.27%,4.32,3122,-,6.30%,-,38.88,2.98% 2.59%,Yes,0.74,-2.70%,-,0.59,148.15,Yes,0.74,Jul 29 BMO,-,1.23M,146.85,2.40,-4.28%,-6.63%,-21.76%,"723,212",-0.88%,2020-07-25 16:25:46.619279
Avery Dennison Corporation,Industrials,Business Equipment & Supplies,USA,S&P 500,17.44,6.91,0.60%,83.30M,-0.70%,9.88B,18.42,13.61%,-3.88%,82.78M,7.23%,584.70M,2.21,1.11,91.90%,0.99%,10.94%,7.05B,1.40,-32.80%,-0.15%,1.43,-7.15%,14.09,8.55,10.40%,124.80,3.81%,9.04,13.32,7.89%,52.00%,76.96 - 141.09,-7.96%,2.32,31.83,6.70%,9.80%,-14.66%,1.19,1.93%,0.90,2.20%,27.30%,56.46%,2.83,30000,1.10,-1.00%,10.10%,58.30,1.84% 2.30%,Yes,2.40,191.60%,8.30%,2.57,120.91,Yes,1.69,Jul 27 BMO,24.90%,570.29K,120.41,2.40,3.89%,5.61%,0.70%,"1,466,341",-0.41%,2020-07-25 16:25:46.619279
Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,S&P 500,-,-15.47,0.10%,655.04M,7.20%,17.03B,40.72,78.67%,2.70%,653.39M,14.40%,-10114.00M,-,-0.01,99.40%,3.38%,21.98%,23.65B,0.72,12.00%,1.96%,3.50,-28.39%,27.35,0.60,-20.60%,19.10,-33.51%,2.89,5.66,28.16%,-33.40%,9.12 - 25.99,-36.13%,0.72,16.12,-43.30%,1.40%,-37.01%,1.73,4.40%,1.00,-0.60%,17.90%,79.50%,0.74,67000,1.40,-3.40%,-64.10%,56.40,5.39% 4.49%,Yes,0.36,-,-42.80%,1.23,16.69,Yes,0.35,Jul 22 BMO,-,6.31M,16.37,1.90,6.28%,3.71%,-10.97%,"7,759,176",-1.92%,2020-07-25 16:25:46.619279
Ball Corporation,Consumer Cyclical,Packaging & Containers,USA,S&P 500,52.52,1.39,0.50%,325.35M,4.08%,23.57B,23.50,17.16%,-4.81%,324.02M,6.06%,472.00M,5.09,0.56,84.90%,3.08%,12.09%,11.47B,2.05,15.20%,-0.29%,4.96,1.71%,8.08,9.05,2.80%,79.08,2.62%,2.49,29.43,10.32%,15.20%,51.26 - 82.82,13.13%,0.60,208.60,0.20%,8.00%,-11.66%,0.51,0.82%,0.70,6.00%,20.10%,42.72%,1.82,18300,1.10,0.00%,7.50%,57.74,2.41% 2.69%,Yes,3.04,-79.70%,4.10%,0.75,72.99,Yes,2.84,Aug 06 BMO,41.90%,2.01M,73.16,2.10,2.72%,4.84%,6.61%,"1,500,194",0.23%,2020-07-25 16:25:46.619279
Bank of America Corporation,Financial,Banks - Diversified,USA,S&P 500,11.70,2.08,0.10%,8.82B,4.87%,217.71B,11.15,40.72%,0.00%,8.59B,2.27%,18.85B,4.23,0.40,72.00%,0.78%,9.78%,63.48B,3.43,5.60%,-0.10%,0.92,-27.40%,27.39,0.89,1.10%,28.53,-19.74%,91.22,0.27,2.77%,10.70%,17.95 - 35.72,-30.86%,0.72,3.90,45.50%,6.00%,-31.83%,1.58,2.96%,-,6.60%,-,35.65%,0.81,209000,-,-11.40%,71.40%,50.80,2.38% 3.15%,Yes,0.00,-43.10%,41.00%,0.68,24.54,Yes,1.05,Jul 16 BMO,23.80%,73.00M,24.35,2.30,2.52%,0.31%,-13.88%,"49,970,726",-0.77%,2020-07-25 16:25:46.619279
The Bank of New York Mellon Corporation,Financial,Asset Management,USA,S&P 500,8.00,4.53,0.20%,894.12M,0.30%,32.63B,9.29,1.27%,-34.58%,883.28M,-2.69%,4.25B,2.63,0.93,84.40%,0.84%,1.31%,7.55B,4.32,14.60%,-0.02%,1.28,-21.15%,42.06,0.86,1.10%,45.13,-23.39%,238.71,0.15,3.04%,11.30%,26.40 - 51.60,-28.02%,1.24,-,15.90%,3.20%,-29.79%,1.06,3.42%,-,18.50%,-,37.23%,1.20,47900,-,-18.20%,42.60%,43.79,2.32% 3.05%,Yes,0.77,12.40%,56.40%,1.00,36.54,Yes,0.77,Jul 15 BMO,26.00%,5.79M,36.23,2.40,-3.26%,-3.33%,-13.21%,"5,795,390",-0.85%,2020-07-25 16:25:46.619279
Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA,S&P 500,58.42,1.53,0.20%,508.84M,1.94%,44.51B,23.38,15.46%,-14.69%,507.84M,8.23%,797.00M,6.04,0.72,89.00%,0.91%,-3.94%,11.53B,3.86,-36.90%,0.06%,1.62,-1.67%,15.19,5.88,5.50%,97.47,4.81%,8.24,10.83,9.67%,12.80%,69.10 - 95.19,6.74%,0.98,39.53,13.20%,6.50%,-6.23%,0.83,1.10%,2.20,1.20%,42.40%,29.18%,1.69,50000,2.70,6.20%,9.00%,59.72,1.42% 1.97%,Yes,0.85,-1.80%,8.60%,0.82,89.49,Yes,0.78,Jul 30 BMO,45.20%,2.85M,89.26,1.90,3.37%,3.24%,4.44%,"2,353,441",-0.26%,2020-07-25 16:25:46.619279
"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,USA,S&P 500,87.59,3.10,0.20%,272.01M,1.84%,78.22B,21.63,20.53%,-13.03%,271.08M,16.79%,853.00M,19.04,2.06,83.60%,0.96%,1.39%,17.41B,4.49,24.40%,0.06%,1.26,-2.29%,77.01,3.53,1.80%,277.57,6.98%,8.19,33.19,4.60%,4.40%,197.75 - 286.72,-0.03%,3.16,41.70,-8.90%,4.30%,-5.17%,0.95,1.16%,0.70,15.40%,46.50%,37.49%,5.47,70093,1.00,1.40%,9.20%,74.45,1.72% 2.19%,Yes,1.01,390.40%,5.30%,0.30,272.71,Yes,0.80,Aug 06 BMO,91.50%,2.08M,271.89,2.10,6.69%,9.90%,7.64%,"618,623",-0.30%,2020-07-25 16:25:46.619279
Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,S&P 500,0.03,6142.19,0.18%,2.43B,1.97%,472.68B,18.04,13.70%,0.00%,1.19B,9.57%,-,0.00,2.22,68.84%,1.09%,4.29%,256.69B,1.84,-3.10%,-,1.83,-14.26%,229292.47,0.00,-,217.50,-6.44%,-,-,23.30%,-,159.50 - 231.61,-14.12%,-,-,-,-,-16.01%,-,-,-,-,-,21.96%,3.24,391500,-,1.00%,-,67.58,1.21% 1.69%,Yes,-,-,-,0.72,193.25,Yes,-,-,-,7.11M,194.52,2.20,5.49%,6.24%,-4.01%,"5,139,104",0.66%,2020-07-25 16:25:46.619279
